seed,fold,protocol,accuracy,precision,recall,f1,auc,pr_auc,mcc
2026,1,Frozen,0.7295221843003413,0.7295221843003413,1.0,0.8436112481499753,0.5466637150183555,0.7881210498066165,0.0
2026,1,Fine-tuned,0.7295221843003413,0.7295221843003413,1.0,0.8436112481499753,0.4301750696404523,0.6993989776602221,0.0
2026,2,Frozen,0.7292912040990607,0.7292912040990607,1.0,0.8434567901234568,0.4274595704755502,0.6835153577898501,0.0
2026,2,Fine-tuned,0.7292912040990607,0.7292912040990607,1.0,0.8434567901234568,0.5190308734550344,0.7736918923451865,0.0
2026,3,Frozen,0.7292912040990607,0.7292912040990607,1.0,0.8434567901234568,0.5941828766465473,0.8011070845616608,0.0
2026,3,Fine-tuned,0.7292912040990607,0.7292912040990607,1.0,0.8434567901234568,0.5981574922982587,0.8082779749948518,0.0
2026,4,Frozen,0.7301451750640479,0.7301451750640479,1.0,0.8440276406712734,0.8317825153601303,0.9312033751774066,0.0
2026,4,Fine-tuned,0.7301451750640479,0.7301451750640479,1.0,0.8440276406712734,0.8260511510844621,0.923929016876881,0.0
2026,5,Frozen,0.7301451750640479,0.7301451750640479,1.0,0.8440276406712734,0.5855189133170479,0.7927106496748508,0.0
2026,5,Fine-tuned,0.2698548249359522,0.0,0.0,0.0,0.5792601228810422,0.7866228620217917,0.0
