Architecture,Protocol,F1,AUC,MCC,PR-AUC
DenseNet121,Frozen,0.963 ± 0.006,0.987 ± 0.003,0.869 ± 0.018,0.995 ± 0.001
DenseNet121,Fine-tuned,0.963 ± 0.006,0.988 ± 0.002,0.871 ± 0.019,0.995 ± 0.001
MobileNetV2,Frozen,0.969 ± 0.005,0.989 ± 0.003,0.890 ± 0.017,0.996 ± 0.001
MobileNetV2,Fine-tuned,0.974 ± 0.005,0.991 ± 0.002,0.906 ± 0.016,0.997 ± 0.001
ResNet50,Frozen,0.877 ± 0.010,0.893 ± 0.009,0.596 ± 0.043,0.960 ± 0.004
ResNet50,Fine-tuned,0.922 ± 0.010,0.949 ± 0.009,0.728 ± 0.031,0.981 ± 0.004
EfficientNetB0,Frozen,0.787 ± 0.218,0.692 ± 0.131,0.000 ± 0.000,0.851 ± 0.074
EfficientNetB0,Fine-tuned,0.619 ± 0.386,0.670 ± 0.134,0.000 ± 0.000,0.843 ± 0.072
ConvNeXtTiny,Frozen,0.868 ± 0.007,0.868 ± 0.011,0.509 ± 0.056,0.950 ± 0.005
ConvNeXtTiny,Fine-tuned,0.873 ± 0.008,0.886 ± 0.012,0.571 ± 0.025,0.956 ± 0.005
ResNet18,Frozen,0.844 ± 0.000,0.554 ± 0.097,0.000 ± 0.000,0.796 ± 0.048
ResNet18,Fine-tuned,0.782 ± 0.183,0.542 ± 0.099,0.007 ± 0.059,0.780 ± 0.057
